dblabel,hour_bins,labels,image_id,views
73,night,Natural Landscape,9,701
73,night,people,1,61
73,night,wildlife,2,1009
74,day,Food,29,5236
74,day,Natural Landscape,51,28886
74,day,Urban Scenes,100,22074
74,day,drinks,2,227
74,day,people,16,2972
74,day,wildlife,10,1757
74,night,Food,11,1072
74,night,Natural Landscape,18,6168
74,night,Urban Scenes,10,1047
74,night,drinks,2,359
74,night,people,3,324
74,night,wildlife,2,34
75,day,Food,4,202
75,day,Natural Landscape,60,4784
75,day,Urban Scenes,88,30657
75,day,people,3,3988
75,day,wildlife,11,3706
75,night,Natural Landscape,8,409
75,night,Urban Scenes,40,22143
75,night,people,3,261
75,night,wildlife,61,5073
76,day,Urban Scenes,34,1770
76,night,Urban Scenes,24,779
76,night,people,1,165
77,day,Food,18,2969
77,day,Natural Landscape,1,18
77,day,Urban Scenes,2,166
77,day,people,10,17270
77,night,Food,24,631
77,night,drinks,1,27
77,night,people,12,950
78,day,Food,3,1200
78,day,Urban Scenes,9,2286
78,day,drinks,3,1204
78,day,people,1,72
78,night,Urban Scenes,1,38
79,day,Food,7,4797
79,day,Natural Landscape,1,21
79,day,Urban Scenes,32,30262
79,day,drinks,2,87
79,day,people,1,6
79,day,wildlife,7,4778
79,night,Food,4,4136
79,night,Natural Landscape,1,219
79,night,Urban Scenes,19,8285
79,night,drinks,1,45
79,night,wildlife,1,24
80,day,Food,1,102
80,day,Urban Scenes,2,987
80,day,drinks,1,85
80,night,Food,1,23
80,night,Others,5,292
80,night,Urban Scenes,18,817
80,night,people,2,563
82,day,Natural Landscape,132,86552
82,day,Urban Scenes,6,1458
82,day,people,33,24286
82,night,Natural Landscape,75,52792
82,night,Urban Scenes,3,141
82,night,people,1,313
83,day,Food,25,6115
83,day,Natural Landscape,12,6494
83,day,Others,2,15
83,day,Urban Scenes,62,20873
83,day,drinks,19,2740
83,day,people,23,9778
83,day,wildlife,1,251
83,night,Food,27,3775
83,night,Natural Landscape,12,9917
83,night,Urban Scenes,7,2783
83,night,drinks,16,2579
83,night,people,16,11322
84,day,Food,42,4219
84,day,Natural Landscape,1,3
84,day,Urban Scenes,29,5625
84,day,people,16,1427
84,night,Others,1,21
85,day,Food,1,675
85,day,Natural Landscape,4,289
85,day,Urban Scenes,1,539
85,day,people,3,225
85,night,Others,1,20
85,night,Urban Scenes,1,21
85,night,people,1,7030
86,day,Food,2,1212
86,day,Natural Landscape,79,17058
86,day,Urban Scenes,12,3401
86,day,people,11,1247
86,day,wildlife,275,53634
86,night,Food,2,6404
86,night,Natural Landscape,21,56124
86,night,Urban Scenes,3,56
86,night,wildlife,9,212
87,day,Food,12,2635
87,day,Natural Landscape,16,1396
87,day,Others,1,28
87,day,Urban Scenes,11,2559
87,day,drinks,4,1226
87,day,people,8,1138
87,day,wildlife,1,13
87,night,Food,29,1662
87,night,Natural Landscape,1,1507
87,night,Urban Scenes,4,87
87,night,drinks,3,176
87,night,people,96,10403
88,day,Food,1,81
88,day,Natural Landscape,1,511
88,day,Urban Scenes,1,37
88,day,people,1,1097
88,day,wildlife,1,20
88,night,Natural Landscape,3,202
88,night,Urban Scenes,2,293
89,day,Natural Landscape,33,6065
89,day,Urban Scenes,9,2245
89,day,wildlife,7,4753
89,night,Food,2,57
89,night,Natural Landscape,18,5229
89,night,Urban Scenes,2,92
89,night,people,1,173
90,day,Food,1,136
90,day,Natural Landscape,9,1820
90,day,Urban Scenes,27,5824
90,day,people,10,1550
90,day,wildlife,15,2508
90,night,Natural Landscape,1,71
90,night,Urban Scenes,7,883
90,night,wildlife,10,3153
91,day,Food,5,3097
91,day,Urban Scenes,66,34860
91,day,drinks,3,76
91,day,people,3,173
91,day,wildlife,1,141
91,night,Food,2,202
